q1_rad,q3_rad,segment,q2_min_rad,q2_max_rad,sample_count
-1,0,0,0.445329252,1.3,11
-1,0.0872664626,0,0.445329252,1.3,11
-1,0.1745329252,0,0.445329252,1.3,11
-1,0.2617993878,0,0.445329252,1.3,11
-1,0.3490658504,0,0.445329252,1.3,11
-1,0.436332313,0,0.5325957146,1.3,10
-1,0.5235987756,0,0.5325957146,1.3,10
-1,0.6108652382,0,0.5325957146,1.3,10
-1,0.6981317008,0,0.5325957146,1.3,10
-1,0.7853981634,0,0.5325957146,1.3,10
-1,0.872664626,0,0.5325957146,1.3,10
-1,0.9599310886,0,0.5325957146,1.3,10
-1,1.047197551,0,0.5325957146,1.3,10
-1,1.134464014,0,0.5325957146,1.3,10
-1,1.221730476,0,0.5325957146,1.3,10
-1,1.308996939,0,0.5325957146,1.3,10
-1,1.396263402,0,0.5325957146,1.3,10
-1,1.483529864,0,0.5325957146,1.3,10
-0.9127335374,0,0,0.3580627894,1.3,12
-0.9127335374,0.0872664626,0,0.3580627894,1.3,12
-0.9127335374,0.1745329252,0,0.3580627894,1.3,12
-0.9127335374,0.2617993878,0,0.3580627894,1.3,12
-0.9127335374,0.3490658504,0,0.3580627894,1.3,12
-0.9127335374,0.436332313,0,0.3580627894,1.3,12
-0.9127335374,0.5235987756,0,0.3580627894,1.3,12
-0.9127335374,0.6108652382,0,0.3580627894,1.3,12
-0.9127335374,0.6981317008,0,0.3580627894,1.3,12
-0.9127335374,0.7853981634,0,0.3580627894,1.3,12
-0.9127335374,0.872664626,0,0.3580627894,1.3,12
-0.9127335374,0.9599310886,0,0.3580627894,1.3,12
-0.9127335374,1.047197551,0,0.3580627894,1.3,12
-0.9127335374,1.134464014,0,0.3580627894,1.3,12
-0.9127335374,1.221730476,0,0.3580627894,1.3,12
-0.9127335374,1.308996939,0,0.3580627894,1.3,12
-0.9127335374,1.396263402,0,0.3580627894,1.3,12
-0.9127335374,1.483529864,0,0.3580627894,1.3,12
-0.8254670748,0,0,0.1835298642,1.3,14
-0.8254670748,0.0872664626,0,0.1835298642,1.3,14
-0.8254670748,0.1745329252,0,0.1835298642,1.3,14
-0.8254670748,0.2617993878,0,0.1835298642,1.3,14
-0.8254670748,0.3490658504,0,0.1835298642,1.3,14
