q1_rad,q2_rad,q3_rad,shoulder_servo_deg,wrist_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-1,-1.3,0,32.70422049,15.51548663,0,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.0872664626,32.70422049,15.51548663,10,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.1745329252,32.70422049,15.51548663,20,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.2617993878,32.70422049,15.51548663,30,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.3490658504,32.70422049,15.51548663,40,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.436332313,32.70422049,15.51548663,50,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.5235987756,32.70422049,15.51548663,60,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.6108652382,32.70422049,15.51548663,70,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.6981317008,32.70422049,15.51548663,80,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.7853981634,32.70422049,15.51548663,90,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.872664626,32.70422049,15.51548663,100,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.9599310886,32.70422049,15.51548663,110,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.047197551,32.70422049,15.51548663,120,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.134464014,32.70422049,15.51548663,130,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.221730476,32.70422049,15.51548663,140,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.308996939,32.70422049,15.51548663,150,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.396263402,32.70422049,15.51548663,160,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.483529864,32.70422049,15.51548663,170,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,1.570796327,32.70422049,15.51548663,180,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear;gripper_clamp_left|gripper_clamp_right
-1,-1.212733537,0,32.70422049,20.51548663,0,0,0,collision,base_link|gripper_link;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.0872664626,32.70422049,20.51548663,10,0,0,collision,base_link|gripper_link;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.1745329252,32.70422049,20.51548663,20,0,0,collision,base_link|gripper_link;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.2617993878,32.70422049,20.51548663,30,0,0,collision,base_link|gripper_link;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.3490658504,32.70422049,20.51548663,40,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.436332313,32.70422049,20.51548663,50,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.5235987756,32.70422049,20.51548663,60,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.6108652382,32.70422049,20.51548663,70,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.6981317008,32.70422049,20.51548663,80,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.7853981634,32.70422049,20.51548663,90,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.872664626,32.70422049,20.51548663,100,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,0.9599310886,32.70422049,20.51548663,110,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.047197551,32.70422049,20.51548663,120,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.134464014,32.70422049,20.51548663,130,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.221730476,32.70422049,20.51548663,140,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.308996939,32.70422049,20.51548663,150,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.396263402,32.70422049,20.51548663,160,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.483529864,32.70422049,20.51548663,170,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.212733537,1.570796327,32.70422049,20.51548663,180,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear;gripper_clamp_left|gripper_clamp_right
-1,-1.125467075,0,32.70422049,25.51548663,0,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.0872664626,32.70422049,25.51548663,10,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.1745329252,32.70422049,25.51548663,20,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.2617993878,32.70422049,25.51548663,30,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.3490658504,32.70422049,25.51548663,40,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.436332313,32.70422049,25.51548663,50,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.5235987756,32.70422049,25.51548663,60,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.6108652382,32.70422049,25.51548663,70,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.6981317008,32.70422049,25.51548663,80,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.7853981634,32.70422049,25.51548663,90,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.872664626,32.70422049,25.51548663,100,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,0.9599310886,32.70422049,25.51548663,110,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,1.047197551,32.70422049,25.51548663,120,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,1.134464014,32.70422049,25.51548663,130,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,1.221730476,32.70422049,25.51548663,140,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.125467075,1.308996939,32.70422049,25.51548663,150,0,0,collision,base_link|gripper_link;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_gear;floor|gripper_servo_gear
