q1_rad,q2_rad,q3_rad,shoulder_servo_deg,wrist_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-1,-1.3,0,32.70422049,15.51548663,0,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.0436332313,32.70422049,15.51548663,5,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.0872664626,32.70422049,15.51548663,10,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.1308996939,32.70422049,15.51548663,15,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.1745329252,32.70422049,15.51548663,20,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.2181661565,32.70422049,15.51548663,25,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.2617993878,32.70422049,15.51548663,30,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.3054326191,32.70422049,15.51548663,35,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.3490658504,32.70422049,15.51548663,40,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.3926990817,32.70422049,15.51548663,45,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.436332313,32.70422049,15.51548663,50,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
-1,-1.3,0.4799655443,32.70422049,15.51548663,55,0,0,collision,base_link|gripper_link;base_link|gripper_servo_gear;floor|gripper_clamp_left;floor|gripper_clamp_right;floor|gripper_left_addition;floor|gripper_left_gear;floor|gripper_link;floor|gripper_right_addition;floor|gripper_right_gear;floor|gripper_servo_gear
