q1_rad,q3_rad,segment,q2_min_rad,q2_max_rad,sample_count
-1,0,0,0.44532925,1.3,26
-1,0.0436332313,0,0.44532925,1.3,26
-1,0.0872664626,0,0.44532925,1.3,26
-1,0.1308996939,0,0.44532925,1.3,26
-1,0.1745329252,0,0.44532925,1.3,26
-1,0.2181661565,0,0.44532925,1.3,26
-1,0.2617993878,0,0.44532925,1.3,26
-1,0.3054326191,0,0.44532925,1.3,26
-1,0.3490658504,0,0.44532925,1.3,26
-1,0.3926990817,0,0.480235835,1.3,25
-1,0.436332313,0,0.480235835,1.3,25
-1,0.4799655443,0,0.480235835,1.3,25
-1,0.5235987756,0,0.480235835,1.3,25
-1,0.5672320069,0,0.480235835,1.3,25
-1,0.6108652382,0,0.480235835,1.3,25
-1,0.6544984695,0,0.480235835,1.3,25
-1,0.6981317008,0,0.480235835,1.3,25
-1,0.7417649321,0,0.480235835,1.3,25
-1,0.7853981634,0,0.480235835,1.3,25
-1,0.8290313947,0,0.480235835,1.3,25
-1,0.872664626,0,0.480235835,1.3,25
-1,0.9162978573,0,0.480235835,1.3,25
-1,0.9599310886,0,0.480235835,1.3,25
-1,1.00356432,0,0.480235835,1.3,25
-1,1.047197551,0,0.51514242,1.3,24
-1,1.090830782,0,0.51514242,1.3,24
-1,1.134464014,0,0.51514242,1.3,24
-1,1.178097245,0,0.51514242,1.3,24
-1,1.221730476,0,0.51514242,1.3,24
-1,1.265363708,0,0.51514242,1.3,24
-1,1.308996939,0,0.51514242,1.3,24
-1,1.35263017,0,0.51514242,1.3,24
-1,1.396263402,0,0.51514242,1.3,24
-1,1.439896633,0,0.51514242,1.3,24
-1,1.483529864,0,0.51514242,1.3,24
-1,1.527163096,0,0.51514242,1.3,24
-0.965093415,0,0,0.37551608,1.3,28
-0.965093415,0.0436332313,0,0.37551608,1.3,28
-0.965093415,0.0872664626,0,0.37551608,1.3,28
-0.965093415,0.1308996939,0,0.37551608,1.3,28
-0.965093415,0.1745329252,0,0.410422665,1.3,27
-0.965093415,0.2181661565,0,0.410422665,1.3,27
-0.965093415,0.2617993878,0,0.410422665,1.3,27
-0.965093415,0.3054326191,0,0.410422665,1.3,27
-0.965093415,0.3490658504,0,0.410422665,1.3,27
-0.965093415,0.3926990817,0,0.410422665,1.3,27
-0.965093415,0.436332313,0,0.410422665,1.3,27
-0.965093415,0.4799655443,0,0.410422665,1.3,27
-0.965093415,0.5235987756,0,0.410422665,1.3,27
-0.965093415,0.5672320069,0,0.410422665,1.3,27
-0.965093415,0.6108652382,0,0.410422665,1.3,27
-0.965093415,0.6544984695,0,0.410422665,1.3,27
-0.965093415,0.6981317008,0,0.44532925,1.3,26
-0.965093415,0.7417649321,0,0.44532925,1.3,26
-0.965093415,0.7853981634,0,0.44532925,1.3,26
-0.965093415,0.8290313947,0,0.44532925,1.3,26
-0.965093415,0.872664626,0,0.44532925,1.3,26
-0.965093415,0.9162978573,0,0.44532925,1.3,26
-0.965093415,0.9599310886,0,0.44532925,1.3,26
-0.965093415,1.00356432,0,0.44532925,1.3,26
-0.965093415,1.047197551,0,0.44532925,1.3,26
-0.965093415,1.090830782,0,0.44532925,1.3,26
-0.965093415,1.134464014,0,0.44532925,1.3,26
-0.965093415,1.178097245,0,0.44532925,1.3,26
-0.965093415,1.221730476,0,0.44532925,1.3,26
-0.965093415,1.265363708,0,0.44532925,1.3,26
-0.965093415,1.308996939,0,0.44532925,1.3,26
-0.965093415,1.35263017,0,0.44532925,1.3,26
-0.965093415,1.396263402,0,0.44532925,1.3,26
-0.965093415,1.439896633,0,0.44532925,1.3,26
-0.965093415,1.483529864,0,0.44532925,1.3,26
-0.965093415,1.527163096,0,0.44532925,1.3,26
-0.93018683,0,0,0.30570291,1.3,30
