q1_rad,q3_rad,segment,q2_min_rad,q2_max_rad,sample_count
-0.7382006122,0,0,0.0962634016,0.7071286398,8
-0.7382006122,0.0872664626,0,0.0962634016,0.7071286398,8
-0.7382006122,0.1745329252,0,0.0962634016,0.7071286398,8
-0.7382006122,0.2617993878,0,0.0962634016,0.7071286398,8
-0.7382006122,0.3490658504,0,0.0962634016,0.7071286398,8
-0.7382006122,0.436332313,0,0.0962634016,0.7071286398,8
-0.7382006122,0.5235987756,0,0.0962634016,0.7071286398,8
-0.7382006122,0.6108652382,0,0.0962634016,0.7071286398,8
-0.7382006122,0.6981317008,0,0.0962634016,0.7071286398,8
-0.7382006122,0.7853981634,0,0.0962634016,0.7071286398,8
-0.7382006122,0.872664626,0,0.0962634016,0.7071286398,8
-0.7382006122,0.9599310886,0,0.0962634016,0.7071286398,8
-0.7382006122,1.047197551,0,0.0962634016,0.7071286398,8
-0.7382006122,1.134464014,0,0.1835298642,0.7071286398,7
-0.7382006122,1.221730476,0,0.1835298642,0.7071286398,7
-0.7382006122,1.308996939,0,0.1835298642,0.7071286398,7
-0.7382006122,1.396263402,0,0.1835298642,0.7071286398,7
-0.7382006122,1.483529864,0,0.1835298642,0.7071286398,7
-0.6509341496,0,0,-0.0782695236,0.7071286398,10
-0.6509341496,0.0872664626,0,-0.0782695236,0.7071286398,10
-0.6509341496,0.1745329252,0,-0.0782695236,0.7071286398,10
-0.6509341496,0.2617993878,0,-0.0782695236,0.7071286398,10
-0.6509341496,0.3490658504,0,-0.0782695236,0.7071286398,10
-0.6509341496,0.436332313,0,0.008996939,0.7071286398,9
-0.6509341496,0.5235987756,0,0.008996939,0.7071286398,9
-0.6509341496,0.6108652382,0,0.008996939,0.7071286398,9
-0.6509341496,0.6981317008,0,0.008996939,0.7071286398,9
-0.6509341496,0.7853981634,0,0.008996939,0.7071286398,9
-0.6509341496,0.872664626,0,0.008996939,0.7071286398,9
-0.6509341496,0.9599310886,0,0.008996939,0.7071286398,9
-0.6509341496,1.047197551,0,0.008996939,0.7071286398,9
