q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.44149464,1.038741195,0.7417649321,39.4084409,21.56058614,85,1,1,safe,
-0.44149464,1.038741195,0.7853981634,39.4084409,21.56058614,90,1,1,safe,
-0.44149464,1.038741195,0.8290313947,39.4084409,21.56058614,95,1,1,safe,
-0.44149464,1.038741195,0.872664626,39.4084409,21.56058614,100,1,1,safe,
-0.44149464,1.038741195,0.9162978573,39.4084409,21.56058614,105,1,1,safe,
-0.44149464,1.038741195,0.9599310886,39.4084409,21.56058614,110,1,1,safe,
-0.44149464,1.038741195,1.00356432,39.4084409,21.56058614,115,1,1,safe,
-0.44149464,1.038741195,1.047197551,39.4084409,21.56058614,120,1,1,safe,
-0.44149464,1.038741195,1.090830782,39.4084409,21.56058614,125,1,1,safe,
-0.44149464,1.038741195,1.134464014,39.4084409,21.56058614,130,1,1,safe,
-0.44149464,1.038741195,1.178097245,39.4084409,21.56058614,135,1,1,safe,
-0.44149464,1.038741195,1.221730476,39.4084409,21.56058614,140,1,1,safe,
-0.44149464,1.038741195,1.265363708,39.4084409,21.56058614,145,1,1,safe,
-0.44149464,1.038741195,1.308996939,39.4084409,21.56058614,150,1,1,safe,
-0.44149464,1.038741195,1.35263017,39.4084409,21.56058614,155,1,1,safe,
-0.44149464,1.038741195,1.396263402,39.4084409,21.56058614,160,1,1,safe,
-0.44149464,1.038741195,1.439896633,39.4084409,21.56058614,165,1,1,safe,
-0.44149464,1.038741195,1.483529864,39.4084409,21.56058614,170,1,1,safe,
-0.44149464,1.038741195,1.527163096,39.4084409,21.56058614,175,1,1,safe,
-0.44149464,1.07364778,0,39.4084409,17.56058614,0,1,1,safe,
-0.44149464,1.07364778,0.0436332313,39.4084409,17.56058614,5,1,1,safe,
-0.44149464,1.07364778,0.0872664626,39.4084409,17.56058614,10,1,1,safe,
-0.44149464,1.07364778,0.1308996939,39.4084409,17.56058614,15,1,1,safe,
-0.44149464,1.07364778,0.1745329252,39.4084409,17.56058614,20,1,1,safe,
-0.44149464,1.07364778,0.2181661565,39.4084409,17.56058614,25,1,1,safe,
-0.44149464,1.07364778,0.2617993878,39.4084409,17.56058614,30,1,1,safe,
-0.44149464,1.07364778,0.3054326191,39.4084409,17.56058614,35,1,1,safe,
-0.44149464,1.07364778,0.3490658504,39.4084409,17.56058614,40,1,1,safe,
-0.44149464,1.07364778,0.3926990817,39.4084409,17.56058614,45,1,1,safe,
-0.44149464,1.07364778,0.436332313,39.4084409,17.56058614,50,1,1,safe,
-0.44149464,1.07364778,0.4799655443,39.4084409,17.56058614,55,1,1,safe,
-0.44149464,1.07364778,0.5235987756,39.4084409,17.56058614,60,1,1,safe,
-0.44149464,1.07364778,0.5672320069,39.4084409,17.56058614,65,1,1,safe,
-0.44149464,1.07364778,0.6108652382,39.4084409,17.56058614,70,1,1,safe,
-0.44149464,1.07364778,0.6544984695,39.4084409,17.56058614,75,1,1,safe,
-0.44149464,1.07364778,0.6981317008,39.4084409,17.56058614,80,1,1,safe,
-0.44149464,1.07364778,0.7417649321,39.4084409,17.56058614,85,1,1,safe,
-0.44149464,1.07364778,0.7853981634,39.4084409,17.56058614,90,1,1,safe,
-0.44149464,1.07364778,0.8290313947,39.4084409,17.56058614,95,1,1,safe,
-0.44149464,1.07364778,0.872664626,39.4084409,17.56058614,100,1,1,safe,
-0.44149464,1.07364778,0.9162978573,39.4084409,17.56058614,105,1,1,safe,
-0.44149464,1.07364778,0.9599310886,39.4084409,17.56058614,110,1,1,safe,
-0.44149464,1.108554365,0,39.4084409,13.56058615,0,1,1,safe,
-0.44149464,1.108554365,0.0436332313,39.4084409,13.56058615,5,1,1,safe,
-0.44149464,1.108554365,0.0872664626,39.4084409,13.56058615,10,1,1,safe,
-0.44149464,1.108554365,0.1308996939,39.4084409,13.56058615,15,1,1,safe,
-0.44149464,1.108554365,0.1745329252,39.4084409,13.56058615,20,1,1,safe,
-0.44149464,1.108554365,0.2181661565,39.4084409,13.56058615,25,1,1,safe,
-0.44149464,1.108554365,0.2617993878,39.4084409,13.56058615,30,1,1,safe,
-0.44149464,1.108554365,0.3054326191,39.4084409,13.56058615,35,1,1,safe,
-0.44149464,1.108554365,0.3490658504,39.4084409,13.56058615,40,1,1,safe,
-0.44149464,1.108554365,0.3926990817,39.4084409,13.56058615,45,1,1,safe,
-0.44149464,1.108554365,0.436332313,39.4084409,13.56058615,50,1,1,safe,
-0.44149464,1.108554365,0.4799655443,39.4084409,13.56058615,55,1,1,safe,
-0.44149464,1.14346095,0,39.4084409,9.560586153,0,1,1,safe,
-0.44149464,1.14346095,0.0436332313,39.4084409,9.560586153,5,1,1,safe,
-0.44149464,1.14346095,0.0872664626,39.4084409,9.560586153,10,1,1,safe,
-0.44149464,1.14346095,0.1308996939,39.4084409,9.560586153,15,1,1,safe,
-0.44149464,1.14346095,0.1745329252,39.4084409,9.560586153,20,1,1,safe,
-0.406588055,0.86420827,0,43.4084409,37.56058612,0,1,1,safe,
-0.406588055,0.86420827,0.0436332313,43.4084409,37.56058612,5,1,1,safe,
-0.406588055,0.86420827,0.0872664626,43.4084409,37.56058612,10,1,1,safe,
-0.406588055,0.86420827,0.1308996939,43.4084409,37.56058612,15,1,1,safe,
-0.406588055,0.86420827,0.1745329252,43.4084409,37.56058612,20,1,1,safe,
-0.406588055,0.86420827,0.2181661565,43.4084409,37.56058612,25,1,1,safe,
-0.406588055,0.86420827,0.2617993878,43.4084409,37.56058612,30,1,1,safe,
-0.406588055,0.86420827,0.3054326191,43.4084409,37.56058612,35,1,1,safe,
-0.406588055,0.86420827,0.3490658504,43.4084409,37.56058612,40,1,1,safe,
-0.406588055,0.86420827,0.3926990817,43.4084409,37.56058612,45,1,1,safe,
-0.406588055,0.86420827,0.436332313,43.4084409,37.56058612,50,1,1,safe,
-0.406588055,0.86420827,0.4799655443,43.4084409,37.56058612,55,1,1,safe,
-0.406588055,0.86420827,0.5235987756,43.4084409,37.56058612,60,1,1,safe,
-0.406588055,0.86420827,0.5672320069,43.4084409,37.56058612,65,1,1,safe,
-0.406588055,0.86420827,0.6108652382,43.4084409,37.56058612,70,1,1,safe,
-0.406588055,0.86420827,0.6544984695,43.4084409,37.56058612,75,1,1,safe,
-0.406588055,0.86420827,0.6981317008,43.4084409,37.56058612,80,1,1,safe,
-0.406588055,0.86420827,0.7417649321,43.4084409,37.56058612,85,1,1,safe,
