q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-1,-1.3,-1.25,204.591559,-173.5605858,18.38027522,0,0,tool_pitch_limit,
-1,-1.3,-1.162733537,204.591559,-173.5605858,28.38027522,0,0,tool_pitch_limit,
-1,-1.3,-1.075467075,204.591559,-173.5605858,38.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.9882006122,204.591559,-173.5605858,48.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.9009341496,204.591559,-173.5605858,58.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.813667687,204.591559,-173.5605858,68.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.7264012244,204.591559,-173.5605858,78.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.6391347618,204.591559,-173.5605858,88.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.5518682992,204.591559,-173.5605858,98.38027522,0,0,tool_pitch_limit,
-1,-1.3,-0.4646018366,204.591559,-173.5605858,108.3802752,0,0,tool_pitch_limit,
-1,-1.3,-0.377335374,204.591559,-173.5605858,118.3802752,0,0,tool_pitch_limit,
-1,-1.3,-0.2900689114,204.591559,-173.5605858,128.3802752,0,0,tool_pitch_limit,
-1,-1.3,-0.2028024488,204.591559,-173.5605858,138.3802752,0,0,tool_pitch_limit,
-1,-1.3,-0.1155359862,204.591559,-173.5605858,148.3802752,0,0,tool_pitch_limit,
-1,-1.3,-0.0282695236,204.591559,-173.5605858,158.3802752,0,0,tool_pitch_limit,
-1,-1.3,0,204.591559,-173.5605858,161.619724,0,0,tool_pitch_limit,
-1,-1.212733537,-1.25,204.591559,-163.5605858,18.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-1.162733537,204.591559,-163.5605858,28.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-1.075467075,204.591559,-163.5605858,38.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.9882006122,204.591559,-163.5605858,48.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.9009341496,204.591559,-163.5605858,58.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.813667687,204.591559,-163.5605858,68.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.7264012244,204.591559,-163.5605858,78.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.6391347618,204.591559,-163.5605858,88.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.5518682992,204.591559,-163.5605858,98.38027522,0,0,tool_pitch_limit,
-1,-1.212733537,-0.4646018366,204.591559,-163.5605858,108.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,-0.377335374,204.591559,-163.5605858,118.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,-0.2900689114,204.591559,-163.5605858,128.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,-0.2028024488,204.591559,-163.5605858,138.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,-0.1155359862,204.591559,-163.5605858,148.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,-0.0282695236,204.591559,-163.5605858,158.3802752,0,0,tool_pitch_limit,
-1,-1.212733537,0,204.591559,-163.5605858,161.619724,0,0,tool_pitch_limit,
-1,-1.125467075,-1.25,204.591559,-153.5605858,18.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-1.162733537,204.591559,-153.5605858,28.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-1.075467075,204.591559,-153.5605858,38.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.9882006122,204.591559,-153.5605858,48.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.9009341496,204.591559,-153.5605858,58.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.813667687,204.591559,-153.5605858,68.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.7264012244,204.591559,-153.5605858,78.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.6391347618,204.591559,-153.5605858,88.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.5518682992,204.591559,-153.5605858,98.38027522,0,0,tool_pitch_limit,
-1,-1.125467075,-0.4646018366,204.591559,-153.5605858,108.3802752,0,0,tool_pitch_limit,
-1,-1.125467075,-0.377335374,204.591559,-153.5605858,118.3802752,0,0,tool_pitch_limit,
-1,-1.125467075,-0.2900689114,204.591559,-153.5605858,128.3802752,0,0,tool_pitch_limit,
-1,-1.125467075,-0.2028024488,204.591559,-153.5605858,138.3802752,0,0,tool_pitch_limit,
-1,-1.125467075,-0.1155359862,204.591559,-153.5605858,148.3802752,0,0,tool_pitch_limit,
